p071_Fra_NR	p072_Fra_R	p065_Fra_NR	p066_Fra_R	p067_Fra_R	p068_Fra_R	p069_Fra_NR	p070_Fra_R	p093_Fra_R	p103_Fra_R	p102_Fra_R	p101_Fra_R	p100_Fra_NR	p090_Fra_NR	p089_Fra_NR	p082_Fra_NR	p081_Fra_R	p084_Fra_NR	p083_Fra_NR	p086_Fra_NR	p085_Fra_NR	p088_Fra_R	p087_Fra_NR	p098_Fra_NR	p099_Fra_NR	p092_Fra_NR	p076_Fra_NR	p077_Fra_NR	p078_Fra_R	p073_Fra_NR	p074_Fra_R	p075_Fra_NR	p096_Fra_R	p097_Fra_R	p094_Fra_R	p095_Fra_NR	p079_Fra_R	p080_Fra_R	p091_Fra_R
meta_mOTU_v2_6823	0	0	0	0	2	4	0	0	0	0	0	117	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5417	0	0	0	3	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
meta_mOTU_v2_7014	1	0	0	12	3	1	9	0	18	0	4	19	0	2	0	0	1	3	7	0	0	4	0	0	0	7	0	0	0	0	0	0	28	6	56	0	2	4	0
meta_mOTU_v2_5603	2	0	0	0	0	0	22	0	27	0	0	0	0	0	0	0	0	7	1	0	0	6	0	0	0	21	0	0	0	0	32	0	0	13	7	0	0	0	0
meta_mOTU_v2_6672	1	1	32	1	2	5	1	43	0	6	3	1	2	1	10	1	1	1	1	0	31	0	25	1	11	0	0	2	0	1	2	36	7	1	0	23	3	1	6
ref_mOTU_v2_0888	0	0	0	1	6	51	2	0	0	21	0	10	2	3	0	2	0	1	2	0	0	1	8	4	7	2	2	1	0	12	2	2	0	2	0	0	0	0	2
ref_mOTU_v2_4882	0	0	0	1	1	8	1	12	1	3	1	4	3	1	0	3	0	1	3	0	10	1	2	1	8	0	1	0	0	2	5	3	2	1	1	36	1	2	5
meta_mOTU_v2_7430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	1	0	0	0	0	4	0	0	0	0	48	0	0	1	13	0	1	0	0	0	0	0
ref_mOTU_v2_0980	0	0	1	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0
ref_mOTU_v2_0979	0	1	1	1	1	3	1	187	0	19	1	55	3	0	2	1	0	0	5	0	1	0	19	1	146	0	1	1	0	1	1	3	30	0	0	13	0	1	8
ref_mOTU_v2_0886	4	3	302	3	8	935	0	124	1	28	3	31	14	8	0	11	25	3	6	1	54	3	92	34	17	1	2	2	1	8	21	157	30	3	1	6	9	1	56
meta_mOTU_v2_7263	0	0	0	10	0	0	0	0	0	12	0	2	0	0	0	2	1	24	7	0	0	0	0	60	198	0	0	0	0	8	0	0	86	1	11	6	0	1	192
meta_mOTU_v2_5712	7	6	0	11	2	0	3	0	3	37	2	0	42	0	0	0	1	17	1	0	0	11	1	18	0	11	7	0	0	106	0	0	0	7	6	0	9	1	0
meta_mOTU_v2_6792	21	0	0	101	1	0	2	0	29	0	17	67	0	7	0	0	6	84	34	0	0	41	0	3	0	3	0	0	0	0	123	0	0	34	57	0	0	4	0
meta_mOTU_v2_7475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4394	2	5	0	2	3	17	2	32	1	25	5	27	7	5	1	2	1	3	5	2	16	0	68	6	0	0	5	2	0	4	21	39	5	4	0	7	4	1	15
meta_mOTU_v2_6281	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_6808	0	0	0	25	0	0	3	0	6	0	0	33	0	0	0	0	0	4	0	0	0	1	0	0	0	2	7	0	0	0	0	0	0	3	0	0	0	1	0
ref_mOTU_v2_3825	2	1	0	13	2	0	14	0	41	140	19	0	0	7	0	29	0	9	42	0	33	14	0	31	0	14	25	0	0	0	25	0	83	4	40	0	17	0	75
meta_mOTU_v2_6699	4	48	0	21	43	2	11	0	12	34	15	0	0	15	2	30	19	28	0	1	0	4	12	0	0	14	0	0	0	46	1	62	0	57	3	9	5	15	52
meta_mOTU_v2_5791	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1475	0	0	29	1	2	47	0	72	0	35	1	6	11	4	2	3	2	1	4	0	0	1	16	7	6	0	6	7	0	19	5	13	17	4	1	19	3	2	8
meta_mOTU_v2_6832	2	51	0	29	2	4	28	0	27	0	20	21	0	17	0	0	8	73	12	1	0	18	0	5	0	36	24	0	0	0	0	0	0	66	39	0	30	27	1
meta_mOTU_v2_5347	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	5	48	28	0	0	0	1	0	16	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0
ref_mOTU_v2_1380	0	0	0	1	0	0	0	0	0	0	0	0	10	4	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	23	0	15	0	1	0	1	1	0
meta_mOTU_v2_5957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_2911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7158	0	3	0	0	0	0	0	0	1	0	92	0	0	0	0	143	0	0	0	0	0	1	0	0	0	116	0	0	0	445	0	0	175	0	0	0	0	89	0
meta_mOTU_v2_7682	0	0	0	0	0	1	1	0	33	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_6721	73	61	0	204	25	0	18	0	0	0	0	0	0	0	0	0	634	0	0	0	185	1	0	73	2	0	0	0	0	3	105	86	0	293	0	0	20	0	0
ref_mOTU_v2_4389	307	138	2	24	223	0	178	0	55	0	0	0	0	40	95	0	160	12	0	2	12	14	0	0	0	0	1	0	0	0	537	468	64	132	1066	0	119	122	0
meta_mOTU_v2_6509	66	0	0	0	2	0	31	0	94	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	78	0	0
meta_mOTU_v2_7668	1	16	0	0	6	0	3	1	0	133	2	0	45	9	0	0	15	0	20	0	0	0	0	0	0	55	0	0	0	1	5	0	0	58	0	1	15	104	0
ref_mOTU_v2_4341	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5341	13	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
meta_mOTU_v2_5463	5	4	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4204	0	0	0	0	18	0	8	0	14	0	0	0	0	0	1	0	133	64	0	0	0	2	0	120	0	0	0	1	32	0	0	0	0	0	0	0	74	13	0
meta_mOTU_v2_7325	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0
meta_mOTU_v2_7687	0	0	0	0	22	0	1	0	3	0	47	0	0	0	0	0	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	19	0	0	0	0	0	0	0	0
meta_mOTU_v2_7074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_3332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7462	2	0	163	1	0	0	1	0	42	0	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0
ref_mOTU_v2_3326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_3225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_3498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4212	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5379	0	0	0	264	0	0	7	0	1094	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	228	2
meta_mOTU_v2_6257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5364	0	0	0	0	0	0	10	0	52	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
meta_mOTU_v2_7722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_6863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_3328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4207	61	57	1	149	646	1	68	1	72	0	47	0	0	10	6	400	58	92	15	0	0	146	0	0	0	63	117	11	125	88	1	2	4	70	176	1	19	51	23
meta_mOTU_v2_6657	81	0	0	31	29	1	1	0	92	0	366	1	225	119	17	0	127	6	60	3	226	54	3	0	0	56	0	459	2	181	131	0	326	72	3	1	121	90	114
meta_mOTU_v2_6302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1381	0	14	45	6	0	33	0	10	0	3	0	101	0	0	1	1	1	1	0	0	21	0	5	2	0	0	0	5	2	0	0	166	0	0	1	10	1	1	0
ref_mOTU_v2_2688	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	1	0	1
meta_mOTU_v2_7067	0	0	0	0	1772	1	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5741	0	17	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	70	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1309	165	64	1	406	91	2	208	830	89	645	581	1	504	41	34	305	471	115	50	4	0	7	6	127	1	38	111	94	743	495	122	1	822	200	422	384	18	165	809
ref_mOTU_v2_4874	18	0	0	0	45	0	3	0	49	0	35	245	1	47	17	27	0	48	0	1	0	10	0	52	0	17	49	40	46	0	0	0	0	49	11	0	0	72	19
meta_mOTU_v2_6036	0	6	0	0	8	0	0	0	0	112	0	0	160	0	0	0	58	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	195	0	0	0
ref_mOTU_v2_3442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5941	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7140	0	0	0	0	0	0	0	0	0	0	2	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_6240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5947	1	0	0	27	3	0	32	0	2	0	45	0	0	4	3	0	108	36	0	0	0	0	0	0	0	5	0	9	0	128	0	0	0	0	30	0	0	0	0
meta_mOTU_v2_7425	0	0	0	29	0	2	0	131	0	98	1	61	36	0	0	29	0	0	0	0	0	0	54	0	47	0	0	0	0	4	1	160	44	7	0	0	2	83	148
ref_mOTU_v2_5259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_6548	0	1	0	13	4	3	0	0	0	0	0	15	0	0	1	0	3	8	4	0	0	0	0	13	82	0	0	4	0	1	0	15	0	0	0	0	0	7	12
meta_mOTU_v2_6073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	2	0	0	0	0
ref_mOTU_v2_4224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7610	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_6704	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_6602	3	31	0	121	18	0	30	0	188	285	22	0	24	37	1	0	4	41	26	0	3	42	3	0	0	12	0	1	0	67	42	49	36	120	47	1	28	1	0
meta_mOTU_v2_6501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	36	0	0	0	0	0	1	4	0	0	0	0	0	0	0
ref_mOTU_v2_5122	0	13	0	0	0	46	0	0	0	26	0	0	0	6	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	1	0	0	1	0	153	1	0	0
ref_mOTU_v2_5103	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4267	0	1	0	0	6	7	1	0	1	4	1	0	2	0	0	3	4	0	0	1	0	0	10	0	0	0	0	1	0	3	0	0	4	0	0	12	5	1	0
ref_mOTU_v2_3113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_2246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_2329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_2996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5215	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ref_mOTU_v2_2920	0	0	0	0	0	3	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
ref_mOTU_v2_5214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5066	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4433	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_0990	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1821	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_0429	2	0	0	0	0	7	0	1	0	0	1	0	0	0	0	5	0	0	0	0	3	0	0	1	1	0	0	5	0	1	0	0	0	0	0	1	0	0	0
ref_mOTU_v2_1595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1442	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_3043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1822	0	0	0	0	0	9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ref_mOTU_v2_5134	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1603	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_0509	0	0	0	0	0	10	0	2	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0
ref_mOTU_v2_1785	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_0396	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5216	0	0	0	0	0	9	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1823	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_5768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ref_mOTU_v2_1145	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	47	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0
ref_mOTU_v2_4961	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_5245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_6790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1208	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_4423	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_7009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_6365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meta_mOTU_v2_6853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v2_1506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
